process_id,process_name,process_description,industry,department,repetition_level,rule_based_decision_level,structured_data_level,exception_rate,process_stability,manual_data_entry_level,system_count,handoff_count,human_judgement_level,compliance_risk_level,customer_impact_level,volume_level,time_sensitivity,data_quality_level,automation_suitability_score,automation_recommendation,implementation_complexity,business_value_potential
P0043,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Retail,Sales,4,5,1,4,3,3,4,2,2,3,1,5,3,3,100,RPA,Medium,Medium
P0044,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Retail,HR,5,4,3,5,5,4,3,2,3,1,4,4,5,1,100,Intelligent Document Processing,Medium,High
P0045,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Manufacturing,Operations,3,2,4,4,3,5,5,2,3,5,5,2,4,2,100,Intelligent Document Processing,High,High
P0046,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Education,Sales,5,1,4,5,2,5,5,4,3,5,1,3,2,4,84,Intelligent Document Processing,High,Medium
P0047,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Telecommunications,Compliance,3,5,4,3,4,1,4,5,5,4,2,2,3,2,83,Human-Assisted Automation,High,Low
P0048,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Manufacturing,Compliance,2,4,2,4,1,5,4,1,3,4,4,2,3,2,78,Intelligent Document Processing,Medium,Medium
P0049,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Banking,Finance,5,5,3,5,1,4,2,3,3,3,2,3,5,3,100,Intelligent Document Processing,Medium,Medium
P0050,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Education,Sales,5,5,2,1,4,4,3,3,1,3,3,3,2,1,100,Workflow Automation,Low,Medium
P0051,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Telecommunications,Sales,5,4,3,5,4,3,2,3,1,4,4,5,4,5,100,RPA,Medium,High
P0052,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Finance,HR,5,1,5,1,2,2,1,4,1,3,2,3,3,2,100,Workflow Automation,Low,Medium
P0053,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Logistics,Compliance,5,4,4,3,1,5,2,5,4,4,3,2,4,4,100,Human-Assisted Automation,High,Medium
P0054,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Insurance,IT,3,4,2,4,1,4,2,5,2,1,3,4,5,3,100,Workflow Automation,Medium,High
P0055,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Logistics,Customer Service,5,3,3,5,1,4,3,5,5,5,3,4,1,3,70,Human-Assisted Automation,High,Medium
P0056,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Manufacturing,Customer Service,2,5,5,3,1,3,2,3,5,3,2,3,2,4,97,AI Copilot,Medium,Medium
P0057,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Finance,Compliance,4,4,1,4,4,3,1,4,3,5,1,3,3,5,100,Workflow Automation,Medium,Medium
P0058,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Insurance,Sales,2,5,2,5,2,5,3,4,4,4,2,1,2,5,75,Human-Assisted Automation,High,Medium
P0059,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Logistics,Student Services,1,5,5,5,5,4,3,4,5,5,1,5,3,5,100,Human-Assisted Automation,High,Medium
P0060,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Retail,Procurement,4,5,3,2,4,5,3,4,1,5,3,5,1,1,100,Intelligent Document Processing,Medium,Medium
P0061,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Telecommunications,HR,1,5,4,4,2,5,5,3,5,4,3,2,3,4,83,Human-Assisted Automation,High,Medium
P0062,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Banking,Operations,5,5,1,4,4,2,3,1,3,4,5,4,2,2,100,RPA,Medium,Medium
P0063,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Telecommunications,Finance,2,2,2,3,2,2,4,3,3,5,4,1,3,5,61,Workflow Automation,High,Medium
P0064,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Finance,HR,4,3,3,3,1,5,1,1,3,4,2,3,5,4,100,Intelligent Document Processing,Medium,High
P0065,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Telecommunications,Sales,5,4,2,2,3,4,2,5,2,2,3,5,5,2,100,Workflow Automation,Medium,High
P0066,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Government,Customer Service,4,4,2,2,4,4,2,1,1,1,1,3,2,3,100,Intelligent Document Processing,Low,Medium
P0067,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Logistics,Customer Service,4,4,3,1,5,3,4,2,2,4,2,5,2,4,100,RPA,Medium,Medium
P0068,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Government,IT,5,5,4,5,3,4,1,4,1,2,5,5,4,5,100,Intelligent Document Processing,Medium,High
P0069,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Education,Procurement,5,5,4,2,4,5,2,2,2,1,5,4,5,3,100,RPA,Low,High
P0070,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Banking,Procurement,2,5,5,5,5,1,1,1,2,4,3,2,5,3,100,RPA,Medium,Medium
P0071,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Insurance,Finance,5,5,2,3,4,4,2,2,1,5,5,3,4,2,100,RPA,Medium,High
P0072,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Finance,Claims,3,4,3,3,4,4,5,5,3,5,4,5,3,3,100,Intelligent Document Processing,High,High
P0073,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Retail,HR,5,5,2,3,5,5,1,5,2,2,1,4,1,4,100,Intelligent Document Processing,Medium,Medium
P0074,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Manufacturing,Student Services,2,3,4,4,2,4,5,2,4,5,4,1,3,4,71,Human-Assisted Automation,High,Medium
P0075,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Education,Customer Service,5,4,2,4,3,4,1,2,3,4,2,3,5,2,100,Intelligent Document Processing,Medium,Medium
P0076,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Insurance,Operations,4,2,4,5,2,5,1,1,3,4,4,4,1,2,100,Intelligent Document Processing,Medium,Medium
P0077,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Education,Compliance,4,4,2,1,4,5,4,3,2,3,2,5,1,1,100,Intelligent Document Processing,Medium,Medium
P0078,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Logistics,Compliance,3,4,2,2,3,4,4,2,3,4,1,1,5,4,100,RPA,Medium,Medium
P0079,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Logistics,Student Services,4,4,5,3,5,5,4,5,3,2,4,4,2,2,100,Workflow Automation,Medium,High
P0080,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Manufacturing,IT,4,4,1,4,4,4,4,5,2,1,2,4,5,2,100,Workflow Automation,Medium,High
P0081,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Insurance,Finance,5,1,2,5,1,4,3,2,3,3,1,5,3,2,84,Intelligent Document Processing,Medium,Medium
P0082,Inventory replenishment,"Check stock level, forecast demand, create replenishment order, notify warehouse",Education,IT,4,5,1,3,4,3,1,2,1,2,3,5,3,4,100,RPA,Low,Medium
P0083,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Logistics,Finance,5,4,3,2,3,5,3,1,1,2,2,5,1,3,100,RPA,Low,Medium
P0084,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Healthcare,Procurement,4,4,3,4,5,5,5,2,3,4,3,5,5,4,100,RPA,High,High
P0085,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Banking,Customer Service,3,2,3,1,2,4,3,4,1,5,1,4,1,1,97,Workflow Automation,Medium,Medium
P0086,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Government,Student Services,5,5,1,3,5,3,5,5,3,4,2,4,3,1,100,Workflow Automation,High,Medium
P0087,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Banking,Claims,1,3,2,4,5,1,4,1,5,4,1,5,3,3,59,Human-Assisted Automation,High,Medium
P0088,Inventory replenishment,"Check stock level, forecast demand, create replenishment order, notify warehouse",Education,HR,4,5,2,1,5,5,1,2,3,3,1,4,2,1,100,RPA,Low,Medium
P0089,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Education,Procurement,5,4,3,5,4,4,2,2,3,3,5,4,4,2,100,Intelligent Document Processing,Medium,High
P0090,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Banking,IT,4,2,1,4,4,1,5,3,5,5,3,1,3,2,30,Human-Assisted Automation,High,Low
P0091,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Banking,Sales,4,4,2,4,4,3,4,5,2,4,4,3,3,1,100,Workflow Automation,High,Medium
P0092,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Manufacturing,Compliance,5,5,5,1,4,3,1,2,3,1,2,4,4,3,100,RPA,Low,Medium
P0093,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Retail,HR,4,4,4,4,5,5,2,4,1,2,2,5,1,5,100,RPA,Medium,Medium
P0094,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Education,Compliance,5,5,2,2,4,5,3,5,2,5,1,4,4,1,100,Intelligent Document Processing,Medium,Medium
P0095,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Manufacturing,Student Services,5,4,3,2,3,4,1,3,1,2,5,4,1,2,100,Intelligent Document Processing,Low,Medium
P0096,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Logistics,Finance,1,3,4,3,2,4,5,3,5,5,5,3,1,2,62,Human-Assisted Automation,High,Medium
P0097,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Education,Student Services,1,2,3,4,3,5,2,2,5,5,3,4,1,5,78,Human-Assisted Automation,High,Medium
P0098,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Banking,Customer Service,5,4,4,4,3,3,3,2,2,1,3,4,4,5,100,RPA,Medium,Medium
P0099,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Retail,Student Services,2,2,3,5,4,3,4,1,3,5,2,1,5,2,64,AI Agent,High,Medium
P0100,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Telecommunications,Sales,1,5,4,3,3,3,4,1,5,4,3,4,1,2,96,Human-Assisted Automation,Medium,Medium
P0101,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Retail,Procurement,4,5,1,4,1,5,5,1,3,3,1,4,1,3,100,RPA,Medium,Medium
P0102,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Education,Procurement,4,3,4,4,4,4,2,5,5,5,1,1,1,2,70,Human-Assisted Automation,High,Low
P0103,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Manufacturing,Procurement,4,4,1,5,5,3,1,3,1,2,2,3,1,2,100,Workflow Automation,Medium,Low
P0104,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Retail,Customer Service,2,5,3,4,1,5,3,5,5,5,1,3,4,3,72,Human-Assisted Automation,High,Medium
P0105,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Healthcare,HR,4,4,2,5,4,5,3,3,3,2,4,3,4,3,100,Workflow Automation,Medium,High
P0106,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Logistics,Finance,5,5,1,4,3,4,3,4,2,1,2,5,5,4,100,Workflow Automation,Medium,High
P0107,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Government,HR,2,3,5,4,1,2,5,3,3,3,5,4,2,5,100,Workflow Automation,High,Medium
P0108,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Education,Compliance,4,5,1,4,3,4,2,1,3,3,4,5,2,2,100,RPA,Medium,High
P0109,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Insurance,Claims,3,4,3,4,2,4,1,2,5,3,4,2,1,1,85,Intelligent Document Processing,Medium,Medium
P0110,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Government,Sales,4,5,4,4,5,3,5,1,2,5,4,4,4,5,100,RPA,Medium,High
P0111,Student enquiry triage,"Receive enquiry, classify category, retrieve student record, provide response or escalate",Government,Operations,4,4,2,1,5,2,5,4,3,4,4,5,5,4,100,Workflow Automation,Medium,High
P0112,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Education,Claims,5,4,4,3,5,3,3,3,3,1,4,3,1,5,100,Workflow Automation,Medium,Medium
P0113,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Logistics,Customer Service,4,5,3,5,5,4,2,2,1,3,2,5,4,5,100,RPA,Medium,High
P0114,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Manufacturing,IT,3,4,2,4,3,4,2,4,5,3,1,2,4,1,75,Intelligent Document Processing,High,Medium
P0115,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Banking,Compliance,4,4,3,5,4,5,4,1,1,4,4,3,2,4,100,RPA,Medium,Medium
P0116,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Healthcare,Procurement,4,5,5,3,3,3,5,1,3,3,3,5,4,5,100,RPA,Medium,High
P0117,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Manufacturing,Compliance,1,4,2,5,2,4,1,1,4,4,4,1,1,3,57,Human-Assisted Automation,Medium,Medium
P0118,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Finance,Operations,5,2,2,4,2,3,2,1,3,5,1,2,4,5,83,AI Agent,Medium,Medium
P0119,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Banking,Finance,4,5,1,2,3,3,3,1,2,1,4,5,3,5,100,RPA,Low,High
P0120,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Manufacturing,HR,3,4,4,4,5,2,4,1,3,3,4,3,3,3,100,RPA,Medium,Medium
P0121,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Retail,Compliance,5,5,5,3,5,4,1,2,1,5,3,4,4,3,100,RPA,Medium,High
P0122,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Finance,Customer Service,4,1,5,4,2,5,4,3,4,3,3,4,4,4,100,AI Copilot,High,High
P0123,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Manufacturing,Sales,1,5,3,4,3,5,1,4,3,4,5,2,4,3,100,Workflow Automation,Medium,High
P0124,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Logistics,Student Services,5,5,1,5,3,4,2,2,1,5,3,4,1,1,100,RPA,Medium,Medium
P0125,Inventory replenishment,"Check stock level, forecast demand, create replenishment order, notify warehouse",Logistics,Operations,4,5,1,4,5,3,2,5,2,3,5,5,1,2,100,Workflow Automation,Medium,Medium
P0126,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Education,HR,5,5,2,1,5,4,5,3,2,2,3,3,5,3,100,Intelligent Document Processing,Medium,High
P0127,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Logistics,Claims,4,4,3,5,1,3,4,3,4,4,4,5,5,1,97,Human-Assisted Automation,High,High
P0128,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Finance,Student Services,4,2,4,3,3,5,1,1,4,3,1,3,1,4,100,AI Copilot,Medium,Medium
P0129,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Education,Customer Service,3,3,5,5,4,3,1,3,5,3,1,3,1,2,85,AI Copilot,Medium,Low
P0130,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Education,Sales,5,1,1,3,2,4,1,2,3,3,2,3,1,3,89,RPA,Medium,Medium
P0131,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Insurance,Claims,3,4,4,5,4,5,2,1,4,3,5,4,2,2,100,Intelligent Document Processing,Medium,High
P0132,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Telecommunications,Operations,3,1,2,1,5,2,5,3,4,3,3,4,1,4,97,AI Copilot,Medium,Medium
P0133,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Banking,Student Services,1,5,2,3,4,1,2,3,3,3,3,1,3,2,83,Workflow Automation,Medium,Low
P0134,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Insurance,Sales,4,5,4,2,5,5,3,3,1,1,4,4,2,2,100,Intelligent Document Processing,Low,High
P0135,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Telecommunications,Operations,1,1,3,3,3,4,1,1,3,3,2,3,5,5,90,Intelligent Document Processing,Low,Medium
P0136,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Insurance,Procurement,4,2,4,3,4,5,4,1,3,3,5,4,5,4,100,Intelligent Document Processing,Medium,High
P0137,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Manufacturing,Operations,4,5,3,5,3,5,5,5,4,1,1,2,2,1,95,Workflow Automation,High,Medium
P0138,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Government,HR,3,3,4,3,1,2,2,4,5,5,5,5,5,3,96,Human-Assisted Automation,High,High
P0139,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Telecommunications,Sales,5,5,1,3,3,5,4,1,1,5,5,3,5,2,100,RPA,Medium,High
P0140,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Manufacturing,Customer Service,3,4,3,3,5,4,5,2,4,5,2,3,2,2,100,Human-Assisted Automation,High,Medium
P0141,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Retail,Operations,4,4,1,4,5,5,1,3,2,4,2,5,3,2,100,Workflow Automation,Medium,High
P0142,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Manufacturing,Finance,4,5,4,4,3,5,2,4,3,1,2,3,5,1,100,Intelligent Document Processing,Medium,High
